time,.estimateZeroPointPose.header.seq,.estimateZeroPointPose.header.stamp.secs,.estimateZeroPointPose.header.stamp.nsecs,.estimateZeroPointPose.header.frame_id,.estimateZeroPointPose.pose.position.x,.estimateZeroPointPose.pose.position.y,.estimateZeroPointPose.pose.position.z,.estimateZeroPointPose.pose.orientation.x,.estimateZeroPointPose.pose.orientation.y,.estimateZeroPointPose.pose.orientation.z,.estimateZeroPointPose.pose.orientation.w,.trueZeroPointPose.header.seq,.trueZeroPointPose.header.stamp.secs,.trueZeroPointPose.header.stamp.nsecs,.trueZeroPointPose.header.frame_id,.trueZeroPointPose.pose.position.x,.trueZeroPointPose.pose.position.y,.trueZeroPointPose.pose.position.z,.trueZeroPointPose.pose.orientation.x,.trueZeroPointPose.pose.orientation.y,.trueZeroPointPose.pose.orientation.z,.trueZeroPointPose.pose.orientation.w,.estimateOdomPose.header.seq,.estimateOdomPose.header.stamp.secs,.estimateOdomPose.header.stamp.nsecs,.estimateOdomPose.header.frame_id,.estimateOdomPose.pose.position.x,.estimateOdomPose.pose.position.y,.estimateOdomPose.pose.position.z,.estimateOdomPose.pose.orientation.x,.estimateOdomPose.pose.orientation.y,.estimateOdomPose.pose.orientation.z,.estimateOdomPose.pose.orientation.w,.trueOdomPose.header.seq,.trueOdomPose.header.stamp.secs,.trueOdomPose.header.stamp.nsecs,.trueOdomPose.header.frame_id,.trueOdomPose.pose.position.x,.trueOdomPose.pose.position.y,.trueOdomPose.pose.position.z,.trueOdomPose.pose.orientation.x,.trueOdomPose.pose.orientation.y,.trueOdomPose.pose.orientation.z,.trueOdomPose.pose.orientation.w
1970/01/01/03:00:23.637000,200,23,606000000,camera_link_optical,-0.00046995890443213284,-0.0005193930701352656,0.8448474407196045,-5.1773848808929444e-08,0.9999999999104647,-8.362741731458887e-06,1.04466511613266e-05,0,23,612000000,camera_link_optical,3.399250522393111e-05,1.3158814871072622e-09,0.8504494374470232,0.7071067402991318,1.4344112815765444e-05,-1.3742064120907827e-05,0.707106821794938,0,0,0,odom,-1.1846363156907308e-05,0.048823265862319984,0.2500330717266105,-7.688945268583629e-12,1.7770802270380917e-12,-3.7622787713906533e-10,1.0,0,0,0,odom,7.81435937463036e-13,0.0504494082958778,0.2499999999951332,-9.857397553717833e-12,-4.83847573124599e-15,-3.765594439868821e-10,1.0
1970/01/01/03:00:24.739000,233,24,706000000,camera_link_optical,-0.0005047087906859815,-0.0005467799492180347,0.8954624533653259,-6.441922509729821e-07,0.999999998576267,7.924969495085321e-06,-5.2765954205114575e-05,0,24,725000000,camera_link_optical,3.7460653924644316e-05,-8.239465796200385e-06,0.9013155415772283,0.7071068751993175,1.4669964302803096e-05,-1.4737976413796936e-05,0.7071066868680007,0,0,0,odom,-4.659624941075598e-05,0.09943827850804142,0.25006045860569326,-7.688945268583629e-12,1.7770802270380917e-12,-3.7622787713906533e-10,1.0,0,0,0,odom,7.729869337855093e-13,0.10131560829586049,0.24999999999515984,-9.910720768464898e-12,4.8386252068038665e-15,-3.765860222112616e-10,1.0
1970/01/01/03:00:25.838000,266,25,806000000,camera_link_optical,-0.0005235575372353196,-0.0005787265254184604,0.9460632801055908,-2.623605974040147e-06,0.999999999989863,-2.3533120494793027e-07,-3.6517711364235023e-06,0,25,805000000,camera_link_optical,4.1304488418926895e-05,-1.1157185828003513e-07,0.9521355722879498,0.7071068322214524,1.5311432559322775e-05,-1.5382167920849114e-05,0.7071067298185556,0,0,0,odom,-6.544499596009408e-05,0.15003910524830633,0.2500924051818937,-7.688945268583629e-12,1.7770802270380917e-12,-3.7622787713906533e-10,1.0,0,0,0,odom,7.548739906762501e-13,0.15213560829583672,0.2499999999951866,-9.96428360797141e-12,4.838624788596946e-15,-3.766222480986549e-10,1.0
1970/01/01/03:00:26.939000,299,26,906000000,camera_link_optical,-0.0005421396344900131,-0.0006096801371313632,0.996647298336029,1.3819787921966766e-07,0.9999999989501428,-2.867066675904396e-06,4.5732649310732814e-05,0,26,925000000,camera_link_optical,4.545852686060586e-05,8.613303483784307e-07,1.0030020042131174,0.7071065035140807,1.6052493645770153e-05,-1.5976900307668573e-05,0.7071070584961995,0,0,0,odom,-8.402709321478759e-05,0.20062312347874456,0.2501233587936066,-7.688945268583629e-12,1.7770802270380917e-12,-3.7622787713906533e-10,1.0,0,0,0,odom,7.270641870798442e-13,0.2030018082958056,0.24999999999521358,-1.001818502342435e-11,-4.838474985134762e-15,-3.7666818749316154e-10,1.0
1970/01/01/03:00:28.037000,332,28,6000000,camera_link_optical,-0.0005727565148845315,-0.0006399523699656129,1.0472838878631592,7.357537635462676e-07,0.9999999999328407,-1.0374076389667236e-06,1.151958842585196e-05,0,27,998000000,camera_link_optical,4.9601375523751514e-05,-9.927579881274795e-06,1.0537293710709479,0.7071068327959439,1.6615558692692833e-05,-1.6686622993326478e-05,0.7071067291850425,0,0,0,odom,-0.00011464397360930596,0.2512597130058747,0.25015363102644084,-7.688945268583629e-12,1.7770802270380917e-12,-3.7622787713906533e-10,1.0,0,0,0,odom,7.089807007476399e-13,0.25372940829577445,0.2499999999952406,-1.0072229952243634e-11,-4.838478298305736e-15,-3.7670435446410196e-10,1.0
1970/01/01/03:00:29.137000,365,29,106000000,camera_link_optical,-0.0005965131567791104,-0.0006753401830792427,1.0978517532348633,-3.4743240149790164e-06,0.9999999980513182,-4.5021708359639976e-05,4.3108450011241115e-05,0,29,121000000,camera_link_optical,5.3897379522581184e-05,-2.2400593532867497e-07,1.104549378849251,0.7071068217095235,1.701923294638691e-05,-1.762128127665515e-05,0.7071067402391892,0,0,0,odom,-0.0001384006155038849,0.3018275783775788,0.25018901883955447,-7.688945268583629e-12,1.7770802270380917e-12,-3.7622787713906533e-10,1.0,0,0,0,odom,6.908625390308834e-13,0.3045494082957431,0.2499999999952678,-1.0126665679679377e-11,-4.838475709087139e-15,-3.7674059079171956e-10,1.0
1970/01/01/03:00:30.238000,398,30,206000000,camera_link_optical,-0.0006207498372532427,-0.0007017868338152766,1.1484524011611938,-3.7125372655000937e-07,0.9999999982891554,-1.6550890418786788e-05,5.6103648712718696e-05,0,30,192000000,camera_link_optical,5.870509816607409e-05,1.0195023965042793e-06,1.155415810572899,0.707106493804259,1.7984981747116493e-05,-1.7930877937157936e-05,0.7071070681126526,0,0,0,odom,-0.0001626372959780172,0.35242822630390935,0.2502154654902905,-7.688945268583629e-12,1.7770802270380917e-12,-3.7622787713906533e-10,1.0,0,0,0,odom,6.824048124584544e-13,0.3554156082957116,0.24999999999529518,-1.0181445495617158e-11,4.838625647891e-15,-3.7676718646232313e-10,1.0
1970/01/01/03:00:31.337000,431,31,306000000,camera_link_optical,-0.0006577974418178201,-0.0007303555612452328,1.1990728378295898,-1.7144143402596185e-06,0.9999999994754014,-5.326376485921113e-06,3.1904353614087276e-05,0,31,313000000,camera_link_optical,6.356217548975874e-05,2.0104451356472985e-07,1.2061894434340223,0.7071067297253868,1.8659335596170433e-05,-1.8588600708586398e-05,0.7071068321571796,0,0,0,odom,-0.00019968490054259454,0.40304866297230535,0.25024403421772046,-7.688945268583629e-12,1.7770802270380917e-12,-3.7622787713906533e-10,1.0,0,0,0,odom,6.546209771944706e-13,0.40618940829567995,0.2499999999953227,-1.0236421316380173e-11,-4.838475340004212e-15,-3.76813073918958e-10,1.0
1970/01/01/03:00:32.437000,464,32,406000000,camera_link_optical,-0.0006864520255476236,-0.0007613500347360969,1.249678373336792,1.913713213748171e-07,0.9999999989007881,2.762151736885306e-06,-4.680553336562579e-05,0,32,425000000,camera_link_optical,6.851361277935356e-05,-8.001668060086953e-07,1.2570092391471615,0.7071070187824618,1.920506808039363e-05,-1.936875988154179e-05,0.7071065430644773,0,0,0,odom,-0.0002283394842723981,0.4536541984795075,0.2502750286912113,-7.688945268583629e-12,1.7770802270380917e-12,-3.7622787713906533e-10,1.0,0,0,0,odom,6.36497581030699e-13,0.4570094082956482,0.24999999999535036,-1.0291744417443032e-11,-4.838477150911268e-15,-3.768493207110769e-10,1.0
1970/01/01/03:00:33.540000,497,33,506000000,camera_link_optical,-0.0007101251394487917,-0.000791780068539083,1.300244927406311,3.132624075034266e-08,0.9999999997157102,-4.37280968306051e-06,2.3440503630924514e-05,0,33,506000000,camera_link_optical,7.374630172115823e-05,-9.581477745296274e-06,1.307921843975081,0.7071067290856733,1.9963789915283928e-05,-1.9892726107815735e-05,0.7071068327257818,0,0,0,odom,-0.0002520125981735662,0.5042207525490265,0.2503054587250143,-7.688945268583629e-12,1.7770802270380917e-12,-3.7622787713906533e-10,1.0,0,0,0,odom,6.18339487939931e-13,0.5079218082956205,0.24999999999537822,-1.0347467923778962e-11,-4.838475170791661e-15,-3.7688563690083657e-10,1.0
