time,.estimateZeroPointPose.header.seq,.estimateZeroPointPose.header.stamp.secs,.estimateZeroPointPose.header.stamp.nsecs,.estimateZeroPointPose.header.frame_id,.estimateZeroPointPose.pose.position.x,.estimateZeroPointPose.pose.position.y,.estimateZeroPointPose.pose.position.z,.estimateZeroPointPose.pose.orientation.x,.estimateZeroPointPose.pose.orientation.y,.estimateZeroPointPose.pose.orientation.z,.estimateZeroPointPose.pose.orientation.w,.trueZeroPointPose.header.seq,.trueZeroPointPose.header.stamp.secs,.trueZeroPointPose.header.stamp.nsecs,.trueZeroPointPose.header.frame_id,.trueZeroPointPose.pose.position.x,.trueZeroPointPose.pose.position.y,.trueZeroPointPose.pose.position.z,.trueZeroPointPose.pose.orientation.x,.trueZeroPointPose.pose.orientation.y,.trueZeroPointPose.pose.orientation.z,.trueZeroPointPose.pose.orientation.w,.estimateOdomPose.header.seq,.estimateOdomPose.header.stamp.secs,.estimateOdomPose.header.stamp.nsecs,.estimateOdomPose.header.frame_id,.estimateOdomPose.pose.position.x,.estimateOdomPose.pose.position.y,.estimateOdomPose.pose.position.z,.estimateOdomPose.pose.orientation.x,.estimateOdomPose.pose.orientation.y,.estimateOdomPose.pose.orientation.z,.estimateOdomPose.pose.orientation.w,.trueOdomPose.header.seq,.trueOdomPose.header.stamp.secs,.trueOdomPose.header.stamp.nsecs,.trueOdomPose.header.frame_id,.trueOdomPose.pose.position.x,.trueOdomPose.pose.position.y,.trueOdomPose.pose.position.z,.trueOdomPose.pose.orientation.x,.trueOdomPose.pose.orientation.y,.trueOdomPose.pose.orientation.z,.trueOdomPose.pose.orientation.w
1970/01/01/03:00:21.684000,117,21,653000000,camera_link_optical,-0.0003843259473796934,-0.0004113659670110792,0.8460649251937866,-2.8421333075683515e-07,0.999999999908617,-1.5500720585790983e-06,-1.3426936378171126e-05,0,21,673000000,camera_link_optical,3.107195083576389e-05,-9.648346362356452e-06,0.8516507325899367,0.7071067292497125,1.292545786774638e-05,-1.2854393029057016e-05,0.7071068328884051,0,0,0,odom,-1.665316734643242e-05,0.050114386144211494,0.250026962358945,5.00206134917764e-12,-4.448817592285305e-12,-1.9312791653663474e-10,1.0,0,0,0,odom,1.1100809967210026e-09,0.05165069539872335,0.24999999999512776,-9.846563550724732e-12,-4.838061107882548e-15,-2.512389606616417e-09,1.0
1970/01/01/03:00:22.786000,150,22,754000000,camera_link_optical,-0.00040487697697244585,-0.0004445623198989779,0.8967378735542297,-3.9358703568653377e-07,0.9999999985292914,9.001333355084209e-06,-5.348119583713669e-05,0,22,744000000,camera_link_optical,3.4555649872784645e-05,1.5706535769210994e-07,0.9025631315499515,0.7071067298417426,1.3563028874328088e-05,-1.3492293248763687e-05,0.7071068322725493,0,0,0,odom,-3.720419693918488e-05,0.1007873345046546,0.2500601587118329,5.00206134917764e-12,-4.448817592285305e-12,-1.9312791653663474e-10,1.0,0,0,0,odom,1.1099599385052326e-09,0.10256309539870623,0.2499999999951544,-9.899876828692257e-12,-4.838059111374015e-15,-2.512631723060808e-09,1.0
1970/01/01/03:00:23.880000,183,23,853000000,camera_link_optical,-0.0004276933323126286,-0.0004605396243277937,0.9472292065620422,1.8410497162098306e-07,0.9999999937123611,-1.2677646634805796e-06,-0.00011213222855355145,0,23,867000000,camera_link_optical,3.824929826210814e-05,-6.929879058092947e-07,0.95310569256306,0.7071070681837879,1.4169712158878973e-05,-1.4223819022904199e-05,0.7071064939041573,0,0,0,odom,-6.002055227936766e-05,0.1512786675124671,0.2500761360162617,5.00206134917764e-12,-4.448817592285305e-12,-1.9312791653663474e-10,1.0,0,0,0,odom,1.109839747570234e-09,0.15310589539868222,0.24999999999518105,-9.953088614125944e-12,-4.838059635163649e-15,-2.512872104941071e-09,1.0
1970/01/01/03:00:24.979000,216,24,953000000,camera_link_optical,-0.0004455088055692613,-0.0004849002871196717,0.997860848903656,-2.5872174003413204e-09,0.9999999997931186,5.885668622626536e-08,-2.034107711911448e-05,0,24,938000000,camera_link_optical,4.2135373980492335e-05,-9.62603682225227e-06,1.0038797322725577,0.7071067292114332,1.486748463365106e-05,-1.4796420065812396e-05,0.7071068328505479,0,0,0,odom,-7.783602553600035e-05,0.20191030985408087,0.2501004966790536,5.00206134917764e-12,-4.448817592285305e-12,-1.9312791653663474e-10,1.0,0,0,0,odom,1.1097286743906796e-09,0.20387969539865122,0.24999999999520792,-1.0006831586106146e-11,4.839039041973887e-15,-2.5131039315241914e-09,1.0
1970/01/01/03:00:26.080000,249,26,53000000,camera_link_optical,-0.0004484873788896948,-0.0005094275111332536,1.0484211444854736,2.2461062482027881e-07,0.9999999959311802,-1.4002866088959922e-06,9.019771909823376e-05,0,26,60000000,camera_link_optical,4.645125503155821e-05,2.4859257902187792e-08,1.0546997242070715,0.7071067402679077,1.5802143243301395e-05,-1.5200094702737834e-05,0.7071068217652431,0,0,0,odom,-8.081459885643385e-05,0.2524706054358985,0.2501250239030672,5.00206134917764e-12,-4.448817592285305e-12,-1.9312791653663474e-10,1.0,0,0,0,odom,1.1096078010684109e-09,0.2546996953986201,0.24999999999523495,-1.0060914046656678e-11,4.839041107597408e-15,-2.513345678181643e-09,1.0
1970/01/01/03:00:27.179000,282,27,153000000,camera_link_optical,-0.0004882829962298274,-0.0005342393415048718,1.0990533828735352,-2.0228147820153145e-07,0.9999999986478759,-6.65901616450566e-06,-5.157387610517292e-05,0,27,132000000,camera_link_optical,5.0441120224546505e-05,-8.167752036103426e-07,1.1055194921795786,0.7071070681420905,1.6111739419471932e-05,-1.6165844692506674e-05,0.7071064938625401,0,0,0,odom,-0.00012061021619656645,0.30310284382396,0.2501498357334388,5.00206134917764e-12,-4.448817592285305e-12,-1.9312791653663474e-10,1.0,0,0,0,odom,1.109486916116852e-09,0.30551969539858875,0.24999999999526215,-1.011528877501982e-11,4.839039587962029e-15,-2.5135874480940884e-09,1.0
1970/01/01/03:00:28.282000,315,28,254000000,camera_link_optical,-0.0005067237070761621,-0.0005681218462996185,1.149688959121704,5.114367731261193e-07,0.9999999993564164,1.5884472934178488e-06,-3.58382825701943e-05,0,28,254000000,camera_link_optical,5.493970433243982e-05,-1.4116977292699673e-07,1.1564782589814941,0.707106832188232,1.676946313972236e-05,-1.6840198303732083e-05,0.7071067297854804,0,0,0,odom,-0.00013905092704290115,0.35373842007212897,0.25018371823823354,5.00206134917764e-12,-4.448817592285305e-12,-1.9312791653663474e-10,1.0,0,0,0,odom,1.1093560111427614e-09,0.35647829539855724,0.24999999999528952,-1.0170106868616377e-11,-4.838060317372098e-15,-2.5138395778387453e-09,1.0
1970/01/01/03:00:29.379000,348,29,354000000,camera_link_optical,-0.0005328267579898238,-0.0005910354666411877,1.2002649307250977,2.8400841257268736e-07,0.999999996945651,-9.832852230303023e-08,-7.815758240468401e-05,0,29,375000000,camera_link_optical,5.967669463856002e-05,1.0615275692349435e-06,1.2071598976919564,0.7071064938163727,1.7500986969268508e-05,-1.7446882766230054e-05,0.707107068124791,0,0,0,odom,-0.00016515397795656287,0.4043143916755225,0.2502066318585751,5.00206134917764e-12,-4.448817592285305e-12,-1.9312791653663474e-10,1.0,0,0,0,odom,1.109245111322952e-09,0.4071596953985257,0.24999999999531694,-1.0224921420891124e-11,4.83904072106883e-15,-2.514071057704735e-09,1.0
1970/01/01/03:00:30.480000,381,30,453000000,camera_link_optical,-0.0005390201695263386,-0.0006078336155042052,1.2508471012115479,-2.0859026220823203e-08,0.9999999996995421,-9.259996365219665e-08,-2.451340224789861e-05,0,30,446000000,camera_link_optical,6.440422827292267e-05,-9.957513478237034e-06,1.2579796576923474,0.7071068327600327,1.80735892371022e-05,-1.81446533103568e-05,0.7071067291492792,0,0,0,odom,-0.00017134738949307763,0.4548965621619727,0.25022343000743813,5.00206134917764e-12,-4.448817592285305e-12,-1.9312791653663474e-10,1.0,0,0,0,odom,1.109124191479055e-09,0.4579796953984939,0.24999999999534459,-1.0280182527196895e-11,4.83904049817362e-15,-2.514312897403177e-09,1.0
1970/01/01/03:00:31.580000,414,31,553000000,camera_link_optical,-0.0005516416858881712,-0.0006316478829830885,1.3014640808105469,-9.722125091000066e-07,0.9999999977750205,-5.4847017818589945e-06,6.647504776275696e-05,0,31,568000000,camera_link_optical,6.929862817547834e-05,-2.4755734617798453e-07,1.3088458654315205,0.7071068216727795,1.8477263445961107e-05,-1.907931160816967e-05,0.7071067402014994,0,0,0,odom,-0.00018396890585491025,0.5055135417609717,0.250247244274917,5.00206134917764e-12,-4.448817592285305e-12,-1.9312791653663474e-10,1.0,0,0,0,odom,1.1089934714069208e-09,0.5088458953984668,0.2499999999953724,-1.0335792937984726e-11,-4.838058265960452e-15,-2.514564657345068e-09,1.0
