time,.estimateZeroPointPose.header.seq,.estimateZeroPointPose.header.stamp.secs,.estimateZeroPointPose.header.stamp.nsecs,.estimateZeroPointPose.header.frame_id,.estimateZeroPointPose.pose.position.x,.estimateZeroPointPose.pose.position.y,.estimateZeroPointPose.pose.position.z,.estimateZeroPointPose.pose.orientation.x,.estimateZeroPointPose.pose.orientation.y,.estimateZeroPointPose.pose.orientation.z,.estimateZeroPointPose.pose.orientation.w,.trueZeroPointPose.header.seq,.trueZeroPointPose.header.stamp.secs,.trueZeroPointPose.header.stamp.nsecs,.trueZeroPointPose.header.frame_id,.trueZeroPointPose.pose.position.x,.trueZeroPointPose.pose.position.y,.trueZeroPointPose.pose.position.z,.trueZeroPointPose.pose.orientation.x,.trueZeroPointPose.pose.orientation.y,.trueZeroPointPose.pose.orientation.z,.trueZeroPointPose.pose.orientation.w,.estimateOdomPose.header.seq,.estimateOdomPose.header.stamp.secs,.estimateOdomPose.header.stamp.nsecs,.estimateOdomPose.header.frame_id,.estimateOdomPose.pose.position.x,.estimateOdomPose.pose.position.y,.estimateOdomPose.pose.position.z,.estimateOdomPose.pose.orientation.x,.estimateOdomPose.pose.orientation.y,.estimateOdomPose.pose.orientation.z,.estimateOdomPose.pose.orientation.w,.trueOdomPose.header.seq,.trueOdomPose.header.stamp.secs,.trueOdomPose.header.stamp.nsecs,.trueOdomPose.header.frame_id,.trueOdomPose.pose.position.x,.trueOdomPose.pose.position.y,.trueOdomPose.pose.position.z,.trueOdomPose.pose.orientation.x,.trueOdomPose.pose.orientation.y,.trueOdomPose.pose.orientation.z,.trueOdomPose.pose.orientation.w
1970/01/01/03:03:17.569000,5043,197,548000000,camera_link_optical,-0.00248592346906662,-0.002402964513748884,3.9976813793182373,-4.697985227272529e-09,0.9999996726990293,-8.541351189717933e-06,-0.0008090295912665075,0,197,522000000,camera_link_optical,-0.0006449163789053216,-1.1303338931289986e-05,4.009829775295595,0.7070804342253844,0.00574032307421223,-0.0057402041988302635,0.7070865281437636,0,0,0,odom,-0.0004271404268615165,0.005144707373469741,0.2500167021025471,-7.688945268583629e-12,-1.7770801982804598e-12,-2.3288884750055133e-09,1.0,0,0,0,odom,-0.001977726929645076,0.009829301677650587,0.25000211773738934,-4.235378280337439e-06,3.369842417256465e-08,-0.007951774307485605,0.9999683841339303
1970/01/01/03:03:17.808000,5050,197,781000000,camera_link_optical,-0.004785073455423117,-0.002405265113338828,4.004737377166748,-1.741281239244906e-06,0.999861453791526,0.0002514953108089672,-0.01664361646315322,0,197,775000000,camera_link_optical,-0.002653505339308089,-5.531922318391391e-06,4.020864357158772,0.7069959077862813,0.012054288560012796,-0.012053949649784774,0.7070121518040581,0,0,0,odom,-0.0027262904132180133,0.012200705221980484,0.25001900270213706,-7.688945268583629e-12,-1.7770801982804598e-12,-2.3288884750055133e-09,1.0,0,0,0,odom,-0.003991698704400178,0.02086321741596678,0.25000571014183043,-1.141880614089689e-05,1.9280258142716425e-07,-0.01688071935330655,0.999857510440207
1970/01/01/03:03:18.038000,5057,198,15000000,camera_link_optical,-0.006672215647995472,-0.0024180791806429625,4.0171356201171875,-1.2830021300403623e-05,0.9995079305306839,0.00017869579886392253,-0.03136661775632936,0,198,8000000,camera_link_optical,-0.0043634467294229925,-1.2124826781201303e-05,4.031473313854288,0.7068579520475484,0.018132714569239865,-0.01813221467389702,0.7068905594789877,0,0,0,odom,-0.004613432605790368,0.024598948172419935,0.2500318167694412,-7.688945268583629e-12,-1.7770801982804598e-12,-2.3288884750055133e-09,1.0,0,0,0,odom,-0.00570660761603126,0.03147166775908333,0.25001156751508363,-2.3128075273431913e-05,5.894331479198092e-07,-0.025476632476939407,0.9996754176543404
1970/01/01/03:03:18.271000,5064,198,248000000,camera_link_optical,-0.008173204027116299,-0.002452821470797062,4.030542850494385,1.739737279800318e-05,0.9992118268650074,-0.0002249894413972029,-0.03969476199925055,0,198,236000000,camera_link_optical,-0.005878023789279352,-1.9542128836202988e-05,4.042252854409592,0.7066603066703848,0.024319408691009785,-0.024316873376561247,0.7067166808606017,0,0,0,odom,-0.006114420984911195,0.0380061785496172,0.2500665590595953,-7.688945268583629e-12,-1.7770801982804598e-12,-2.3288884750055133e-09,1.0,0,0,0,odom,-0.007226673986775637,0.04225063878092543,0.2500199061525315,-3.979058542441083e-05,1.3626204392282712e-06,-0.034224350294206715,0.9994141745351584
1970/01/01/03:03:18.491000,5070,198,448000000,camera_link_optical,-0.009358326904475689,-0.0024629314430058002,4.041871547698975,6.252320860923666e-06,0.9991015948020502,1.4587808332000918e-05,-0.04237927573831822,0,198,440000000,camera_link_optical,-0.007096214151500322,-3.0458541664696304e-05,4.052370893468206,0.7064221699089196,0.030136143494374375,-0.0301331370674213,0.7065065638526907,0,0,0,odom,-0.007299543862270585,0.049334875754207044,0.25007666903180403,-7.688945268583629e-12,-1.7770801982804598e-12,-2.3288884750055133e-09,1.0,0,0,0,odom,-0.008449204589258715,0.05236832609648068,0.25002990098304856,-5.975165280332813e-05,2.538760552295511e-06,-0.042450003630926686,0.9990985905380055
1970/01/01/03:03:18.740000,5078,198,714000000,camera_link_optical,-0.010484909638762474,-0.0025036893784999847,4.057024955749512,-5.956333885107955e-05,0.9988160094439696,0.0006230417048773604,-0.04864347386512193,0,198,695000000,camera_link_optical,-0.008232728591066637,-4.0310323881687093e-05,4.063799486350511,0.7060907938569667,0.03672146218785975,-0.03671502031308508,0.7062147919214337,0,0,0,odom,-0.00842612659655737,0.06448828380474415,0.2501174269672982,-7.688945268583629e-12,-1.7770801982804598e-12,-2.3288884750055133e-09,1.0,0,0,0,odom,-0.009591516195609849,0.0637963026948591,0.25004369129598586,-8.72731042030742e-05,4.523374280451676e-06,-0.05176047997461434,0.9986595241000519
1970/01/01/03:03:18.969000,5085,198,948000000,camera_link_optical,-0.011119876988232136,-0.0024834543000906706,4.067636013031006,-2.252257176252394e-05,0.9984711702184824,0.00016179213749606175,-0.055274728028025945,0,198,941000000,camera_link_optical,-0.009052161828596495,-6.765247096424121e-05,4.074283673214741,0.7057292223217393,0.04277772311411024,-0.04276774224032972,0.7058946460981202,0,0,0,odom,-0.009061093946027032,0.0750993410862383,0.2500971918888889,-7.688945268583629e-12,-1.7770801982804598e-12,-2.3288884750055133e-09,1.0,0,0,0,odom,-0.010416074284506128,0.07428048255408234,0.2500586566301486,-0.00011711338470565595,7.077496313170529e-06,-0.06032270071933664,0.998178920841494
1970/01/01/03:03:19.201000,5092,199,181000000,camera_link_optical,-0.012201322242617607,-0.0024562000762671232,4.073596000671387,-3.641491848613851e-05,0.9973493893286288,0.00017241710211979505,-0.07276100983430535,0,199,154000000,camera_link_optical,-0.009661957540767296,-8.5182999325778e-05,4.084876301903197,0.7053062159736969,0.04891303379442451,-0.04889809902889186,0.7055208237502639,0,0,0,odom,-0.010142539200412503,0.08105932872661915,0.25006993766506536,-7.688945268583629e-12,-1.7770801982804598e-12,-2.3288884750055133e-09,1.0,0,0,0,odom,-0.011030930183372718,0.08487279676967338,0.2500760074892878,-0.00015167580101101263,1.0489995216665411e-05,-0.06899575264407397,0.9976169420180719
1970/01/01/03:03:19.442000,5099,199,414000000,camera_link_optical,-0.012473839335143566,-0.002516218228265643,4.0787272453308105,-0.00010108617954415549,0.997098424869965,0.0008846066219997688,-0.0761179241344855,0,199,409000000,camera_link_optical,-0.010060618457183262,-9.570226257166192e-05,4.095844402666757,0.7048071638404364,0.05528530864722473,-0.05526394562144863,0.7050789266183829,0,0,0,odom,-0.010415056292938462,0.08619057338604298,0.2501299558170639,-7.688945268583629e-12,-1.7770801982804598e-12,-2.3288884750055133e-09,1.0,0,0,0,odom,-0.011435030027204836,0.09584075933524215,0.25009632081950517,-0.00019209172043058956,1.502950680002467e-05,-0.07800286143697926,0.9969531164917077
1970/01/01/03:03:19.665000,5106,199,648000000,camera_link_optical,-0.012867353856563568,-0.002612031064927578,4.092921733856201,-7.783739780140735e-05,0.9957720468673757,-2.1774044139276624e-05,-0.09185871839290807,0,199,641000000,camera_link_optical,-0.010217172849052469,-0.00011771812948022098,4.10595746013072,0.7042912878824985,0.06117998001850922,-0.06115166316028884,0.7046213635353935,0,0,0,odom,-0.010808570814358464,0.1003850619114336,0.2502257686537258,-7.688945268583629e-12,-1.7770801982804598e-12,-2.3288884750055133e-09,1.0,0,0,0,odom,-0.011596434860485902,0.10595382731580581,0.2501171542281589,-0.0002334883496550148,2.0233584004320473e-05,-0.08633418851445476,0.9962662058743855
