time,.estimatePose.header.seq,.estimatePose.header.stamp.secs,.estimatePose.header.stamp.nsecs,.estimatePose.header.frame_id,.estimatePose.pose.position.x,.estimatePose.pose.position.y,.estimatePose.pose.position.z,.estimatePose.pose.orientation.x,.estimatePose.pose.orientation.y,.estimatePose.pose.orientation.z,.estimatePose.pose.orientation.w,.truePose.header.seq,.truePose.header.stamp.secs,.truePose.header.stamp.nsecs,.truePose.header.frame_id,.truePose.pose.position.x,.truePose.pose.position.y,.truePose.pose.position.z,.truePose.pose.orientation.x,.truePose.pose.orientation.y,.truePose.pose.orientation.z,.truePose.pose.orientation.w
1970/01/01/03:00:18.361000,28,18,286000000,camera_frame,-0.0005748234689235687,-0.0005880590761080384,0.7941780090332031,0.9999999990968653,3.040066587705565e-06,1.4342839718196296e-05,3.989123177486413e-05,0,0,0,camera_frame,-1.0935389142513989e-11,4.90002483033436e-12,0.7978972000091211,0.7071067811865475,-2.3233723441272517e-11,2.3233695500462085e-11,0.7071067811865476
1970/01/01/03:00:27.901000,314,27,867000000,camera_frame,-0.0006456256960518658,-0.0006665558903478086,0.8926529288291931,0.9999999928500654,-3.0278085202308597e-06,3.660927172062065e-05,0.00011380010014085255,0,0,0,camera_frame,4.939878861118874e-12,4.901135053358985e-12,0.8981512000091141,0.7071067811862993,-5.130829201512758e-11,4.993208411831034e-11,0.7071067811867957
1970/01/01/03:00:30.104000,380,30,70000000,camera_frame,-0.0007302734884433448,-0.000731075182557106,0.9940128922462463,0.9999999989802144,3.230401592299383e-06,-2.3450575335663863e-05,3.846044902657241e-05,0,0,0,camera_frame,2.2472683357539057e-11,4.901468120266372e-12,0.9994678000091062,0.7071067811853045,-7.77185468428762e-11,7.96142412418361e-11,0.7071067811877906
1970/01/01/03:00:32.311000,446,32,267000000,camera_frame,-0.0007876926101744175,-0.0008070212206803262,1.0952476263046265,0.9999999851306721,-3.4655310464948352e-06,0.00010842155200357128,0.00013405749777060727,0,0,0,camera_frame,3.771463671876364e-11,4.901190564510216e-12,1.1007844000090976,0.7071067811862993,-1.074611571839238e-10,1.0608494928736168e-10,0.7071067811867957
1970/01/01/03:00:34.510000,512,34,467000000,camera_frame,-0.0008661213214509189,-0.0008692569099366665,1.1963303089141846,0.9999999993636541,-1.2160546120754753e-06,1.8311002431238097e-05,3.059281152512844e-05,0,0,0,camera_frame,5.524744120460688e-11,4.901523631417604e-12,1.2021010000090895,0.7071067811853045,-1.3387141197280702e-10,1.3576710637303699e-10,0.7071067811877906
1970/01/01/03:00:36.704000,578,36,667000000,camera_frame,-0.0009616563329473138,-0.0009452490485273302,1.2977937459945679,0.9999999701897843,-1.982180320678604e-05,-0.00023249865503784375,7.191593761948136e-05,0,0,0,camera_frame,7.048939454406655e-11,4.901246075661447e-12,1.3034176000090811,0.7071067811862993,-1.6361402225255029e-10,1.6223781435363782e-10,0.7071067811867957
1970/01/01/03:00:38.903000,644,38,867000000,camera_frame,-0.0010078474879264832,-0.0010111791780218482,1.3986798524856567,0.9999999859757619,3.296053760121018e-05,0.00016332088232709065,-1.6981414512917713e-05,0,0,0,camera_frame,8.802219901200439e-11,4.901495875841988e-12,1.4047342000090732,0.7071067811853045,-1.9002427697861422e-10,1.9191997137943324e-10,0.7071067811877906
1970/01/01/03:00:41.067000,709,41,34000000,camera_frame,-0.00108876614831388,-0.0010920548811554909,1.498511552810669,0.9999999958267654,-1.8240300028781402e-06,8.257188613337584e-05,3.905157815666227e-05,0,0,0,camera_frame,1.0326415234960812e-10,4.9013015868126786e-12,1.5060508000090647,0.7071067811862993,-2.197668872549985e-10,2.183906793554045e-10,0.7071067811867957
1970/01/01/03:00:43.268000,775,43,234000000,camera_frame,-0.0011651162058115005,-0.0011873360490426421,1.5996606349945068,0.9999999926728187,2.063098256164495e-05,-1.190856279630154e-05,0.00011868829508239398,0,0,0,camera_frame,1.2079695681710024e-10,4.901523631417604e-12,1.6073674000090568,0.7071067811853045,-2.4617714197875985e-10,2.4807283638101713e-10,0.7071067811877906
1970/01/01/03:00:45.445000,840,45,400000000,camera_frame,-0.001250674482434988,-0.0012325051939114928,1.6993998289108276,0.9999999900464264,1.4584516147569598e-05,-0.00013987431668311797,-1.1384847281396693e-05,0,0,0,camera_frame,1.3609885710032618e-10,4.9013015868126786e-12,1.7084992000090482,0.7071067811853045,-2.73600634158039e-10,2.7549632855947734e-10,0.7071067811877906
1970/01/01/03:00:47.644000,906,47,600000000,camera_frame,-0.0013220924884080887,-0.001313860178925097,1.8020992279052734,0.9999999826005936,-1.3223179155111731e-05,-7.86578750728666e-05,0.00016863243642603297,0,0,0,camera_frame,1.5357171458989668e-10,4.901551386993219e-12,1.8100006000090583,0.7071067811853045,-3.0233000687093836e-10,3.0422570127495045e-10,0.7071067811877906
1970/01/01/03:00:49.831000,972,49,800000000,camera_frame,-0.001387540833093226,-0.0013740411959588528,1.9037963151931763,0.9999999094425643,1.370067845680983e-05,-0.0001639444995789929,-0.0003924912171317483,0,0,0,camera_frame,1.6881366788571084e-10,4.901329342388294e-12,1.9113172000090748,0.7071067811862993,-3.320726170214482e-10,3.306964091187708e-10,0.7071067811867957
1970/01/01/03:00:52.034000,1038,52,0,camera_frame,-0.0014555050292983651,-0.0014617620036005974,2.0051186084747314,0.99999999398109,-5.7972986124880816e-06,-6.67846471050957e-05,-8.685633135795358e-05,0,0,0,camera_frame,1.863464723188098e-10,4.901579142568835e-12,2.0126338000090778,0.7071067811853045,-3.5848287162747067e-10,3.603785660299651e-10,0.7071067811877906
1970/01/01/03:00:54.243000,1104,54,200000000,camera_frame,-0.0015440798597410321,-0.001560749369673431,2.104809284210205,0.999999902858124,9.20130152153359e-06,-2.9096743616314562e-05,0.000439718612368302,0,0,0,camera_frame,2.0158842560481253e-10,4.90135709796391e-12,2.113950400009081,0.7071067811862993,-3.8822548173785305e-10,3.868492738360823e-10,0.7071067811867957
1970/01/01/03:00:56.435000,1170,56,401000000,camera_frame,-0.0016097772167995572,-0.0016116981860250235,2.206350564956665,0.9999999994631775,-2.2599873961014255e-07,3.0909371631594164e-06,-3.2619626397606074e-05,0,0,0,camera_frame,2.1912123002040033e-10,4.901634653720066e-12,2.215267000009102,0.7071067811853045,-4.1463573628879677e-10,4.165314306910636e-10,0.7071067811877906
1970/01/01/03:00:58.602000,1235,58,568000000,camera_frame,-0.0016833000117912889,-0.001661808928474784,2.306549549102783,0.9999999674595526,-5.00182710650262e-07,-5.39471105716373e-05,-0.0002493398341957978,0,0,0,camera_frame,2.343631832869533e-10,4.901412609115141e-12,2.316583600009104,0.7071067811862993,-4.443783463529507e-10,4.430021384473153e-10,0.7071067811867957
1970/01/01/03:01:00.807000,1301,60,767000000,camera_frame,-0.0017594947712495923,-0.0017467309953644872,2.4069643020629883,0.9999999180060024,-5.77075913673986e-06,-6.787035636247586e-05,-0.0003991845456379374,0,0,0,camera_frame,2.51895987698449e-10,4.901634653720066e-12,2.417900200009096,0.7071067811853045,-4.70788600883019e-10,4.726842952895216e-10,0.7071067811877906
1970/01/01/03:01:02.996000,1367,62,967000000,camera_frame,-0.0018244729144498706,-0.0018382759299129248,2.5131072998046875,0.9999998889879427,-5.256340453713132e-06,0.00038208695224883974,0.0002756919189306245,0,0,0,camera_frame,2.6713794095365063e-10,4.901412609115141e-12,2.5192168000090875,0.7071067811862993,-5.005312109220282e-10,4.991550030140951e-10,0.7071067811867957
1970/01/01/03:01:05.198000,1433,65,167000000,camera_frame,-0.00190762581769377,-0.0018919353606179357,2.6141037940979004,0.9999999240615356,-3.329965373403943e-07,2.0498599837958776e-05,-0.0003891742791456754,0,0,0,camera_frame,2.8467074534374387e-10,4.901690164871297e-12,2.620533400009079,0.7071067811853045,-5.26941465384514e-10,5.28837159791893e-10,0.7071067811877906
1970/01/01/03:01:07.401000,1499,67,367000000,camera_frame,-0.001974863465875387,-0.001975074177607894,2.716918468475342,0.9999999675400753,-3.5481668005153586e-06,-0.00012279477578643487,-0.00022322343520984105,0,0,0,camera_frame,2.9991269857687193e-10,4.9013848535395255e-12,2.721850000009071,0.7071067811862993,-5.566840753515882e-10,5.553078674444809e-10,0.7071067811867957
1970/01/01/03:01:09.600000,1565,69,568000000,camera_frame,-0.002055799588561058,-0.0020449270959943533,2.8122055530548096,0.9999999836930717,-1.838553270695047e-06,-0.00013258034696155658,-0.00012260884029897509,0,0,0,camera_frame,3.174455029487662e-10,4.901745676022529e-12,2.823166600009063,0.7071067811853045,-5.830943297454217e-10,5.849900241548559e-10,0.7071067811877906
1970/01/01/03:01:11.771000,1630,71,734000000,camera_frame,-0.0021224773954600096,-0.0021488189231604338,2.9169938564300537,0.9999999990784703,-2.2440891823197572e-06,1.3395492778982563e-05,-4.072572074233504e-05,0,0,0,camera_frame,3.326874561664645e-10,4.901523631417604e-12,2.9244832000090546,0.7071067811862993,-6.128369396719061e-10,6.11460731762813e-10,0.7071067811867957
1970/01/01/03:01:13.967000,1696,73,934000000,camera_frame,-0.00223271525464952,-0.002205907367169857,3.020508289337158,0.9999994882333236,-1.2119589226006884e-05,-0.0009433945967066834,-0.0003652298471980587,0,0,0,camera_frame,3.502202605208237e-10,4.90180118717376e-12,3.0257998000090467,0.7071067811853045,-6.392471940140821e-10,6.411428884212545e-10,0.7071067811877906
