time,.estimatePose.header.seq,.estimatePose.header.stamp.secs,.estimatePose.header.stamp.nsecs,.estimatePose.header.frame_id,.estimatePose.pose.position.x,.estimatePose.pose.position.y,.estimatePose.pose.position.z,.estimatePose.pose.orientation.x,.estimatePose.pose.orientation.y,.estimatePose.pose.orientation.z,.estimatePose.pose.orientation.w,.truePose.header.seq,.truePose.header.stamp.secs,.truePose.header.stamp.nsecs,.truePose.header.frame_id,.truePose.pose.position.x,.truePose.pose.position.y,.truePose.pose.position.z,.truePose.pose.orientation.x,.truePose.pose.orientation.y,.truePose.pose.orientation.z,.truePose.pose.orientation.w
1970/01/01/03:00:25.887000,28,25,813000000,camera_frame,-0.0024003321304917336,-0.0023913439363241196,3.997375011444092,0.9999999398495281,2.3594995475017717e-05,-0.00029189377311179165,-0.00018585543248040334,0,0,0,camera_frame,1.6734655666910002e-11,4.900524430695441e-12,4.002184399995734,0.7071067811865475,-2.5758722077172302e-11,2.5758694136167596e-11,0.7071067811865476
1970/01/01/03:00:40.152000,457,40,124000000,camera_frame,-0.003300476586446166,-0.002393518341705203,4.002946853637695,0.9999990451276288,-1.4154357381997636e-05,-0.0011986337984482938,-0.0006876194455939773,0,0,0,camera_frame,-0.0010840081278905686,4.900524430695441e-12,4.012856470490098,0.7071014360993113,0.002749375384911444,-0.0027493753840196786,0.7071014361011312
1970/01/01/03:00:40.397000,464,40,357000000,camera_frame,-0.004336453974246979,-0.002429432235658169,4.01051664352417,0.9999028691807179,6.498494755546486e-06,-0.013937056042172125,-0.00010310584318563435,0,0,0,camera_frame,-0.002168876894362348,4.9004134083929785e-12,4.024636389337182,0.7070831125745947,0.005785491571371657,-0.005785491572080575,0.707083112573317
1970/01/01/03:00:40.652000,472,40,625000000,camera_frame,-0.00581415556371212,-0.002421137411147356,4.02825927734375,0.9998425234605076,-2.0411665426192597e-05,-0.01774112520017174,-0.00042466471492225405,0,0,0,camera_frame,-0.0031327024228761055,4.9006354529979035e-12,4.036367195686751,0.7070518895251613,0.008810534471610747,-0.008810534470800494,0.707051889526902
1970/01/01/03:00:40.903000,479,40,858000000,camera_frame,-0.006101597566157579,-0.002418054034933448,4.03769063949585,0.9999661300507652,5.154534983451355e-05,-0.00821185394389621,-0.0005491349352680971,0,0,0,camera_frame,-0.0039675612268935245,4.900524430695441e-12,4.047912136518663,0.7070084921802174,0.011789486235307046,-0.011789486235899678,0.7070084921793064
1970/01/01/03:00:41.191000,488,41,158000000,camera_frame,-0.00714021036401391,-0.002422104589641094,4.051859378814697,0.9999680164499571,-3.4667831567013415e-05,-0.007984281866687365,-0.0004648853118050649,0,0,0,camera_frame,-0.004719027548325457,4.900746475300366e-12,4.059959895589951,0.706949772692869,0.0149002982603533,-0.014900298259560022,0.7069497726946586
1970/01/01/03:00:41.424000,495,41,390000000,camera_frame,-0.007678224705159664,-0.002462447853758931,4.058932781219482,0.9997005639857195,-2.1303631355411483e-05,-0.02444500223330537,0.0011062452726389282,0,0,0,camera_frame,-0.005334034794751406,4.900746475300366e-12,4.071725461521748,0.7068791490767437,0.017940696793203335,-0.017940696794062964,0.7068791490754672
1970/01/01/03:00:41.693000,503,41,657000000,camera_frame,-0.008622842840850353,-0.0024630348198115826,4.072178840637207,0.9991339345190612,2.921212100442584e-05,-0.04160933236819952,0.0002085641030853482,0,0,0,camera_frame,-0.0058314250031686445,4.9006354529979035e-12,4.083484797047261,0.7067954118342923,0.020982035381400487,-0.02098203538065205,0.7067954118360785
1970/01/01/03:00:41.957000,511,41,924000000,camera_frame,-0.00831407867372036,-0.0024756018538028,4.087562084197998,0.9995261353635535,-4.6943344452983315e-05,-0.03078149333014992,4.679623516086281e-05,0,0,0,camera_frame,-0.006211150426771875,4.9004134083929785e-12,4.095236843166951,0.7066985388319601,0.024024471142589914,-0.024024471143549744,0.7066985388306418
1970/01/01/03:00:42.185000,518,42,157000000,camera_frame,-0.008835038170218468,-0.0024652257561683655,4.100254058837891,0.9993905074056977,-4.2999023697753164e-05,-0.03490737926529584,-0.00029450177379308973,0,0,0,camera_frame,-0.006473168634607361,4.900746475300366e-12,4.106980539873247,0.7065885172226907,0.027067828280091757,-0.02706782827939062,0.7065885172244708
