time,.estimateZeroPointPose.header.seq,.estimateZeroPointPose.header.stamp.secs,.estimateZeroPointPose.header.stamp.nsecs,.estimateZeroPointPose.header.frame_id,.estimateZeroPointPose.pose.position.x,.estimateZeroPointPose.pose.position.y,.estimateZeroPointPose.pose.position.z,.estimateZeroPointPose.pose.orientation.x,.estimateZeroPointPose.pose.orientation.y,.estimateZeroPointPose.pose.orientation.z,.estimateZeroPointPose.pose.orientation.w,.trueZeroPointPose.header.seq,.trueZeroPointPose.header.stamp.secs,.trueZeroPointPose.header.stamp.nsecs,.trueZeroPointPose.header.frame_id,.trueZeroPointPose.pose.position.x,.trueZeroPointPose.pose.position.y,.trueZeroPointPose.pose.position.z,.trueZeroPointPose.pose.orientation.x,.trueZeroPointPose.pose.orientation.y,.trueZeroPointPose.pose.orientation.z,.trueZeroPointPose.pose.orientation.w,.estimateOdomPose.header.seq,.estimateOdomPose.header.stamp.secs,.estimateOdomPose.header.stamp.nsecs,.estimateOdomPose.header.frame_id,.estimateOdomPose.pose.position.x,.estimateOdomPose.pose.position.y,.estimateOdomPose.pose.position.z,.estimateOdomPose.pose.orientation.x,.estimateOdomPose.pose.orientation.y,.estimateOdomPose.pose.orientation.z,.estimateOdomPose.pose.orientation.w,.trueOdomPose.header.seq,.trueOdomPose.header.stamp.secs,.trueOdomPose.header.stamp.nsecs,.trueOdomPose.header.frame_id,.trueOdomPose.pose.position.x,.trueOdomPose.pose.position.y,.trueOdomPose.pose.position.z,.trueOdomPose.pose.orientation.x,.trueOdomPose.pose.orientation.y,.trueOdomPose.pose.orientation.z,.trueOdomPose.pose.orientation.w
1970/01/01/03:00:11.404000,84,11,375000000,camera_link_optical,-0.0030669602565467358,-0.0023996452800929546,3.999117612838745,-7.112443084003139e-07,0.9999999721102961,0.00021274482235781486,0.00010255994125330913,0,11,372000000,camera_link_optical,-0.0010792460830811195,2.667493889718653e-06,4.010813332856455,0.7070994094133675,0.0027852663289970538,-0.002785251550685604,0.7071031819137451,0,0,0,odom,-0.0006650141464848695,0.004491567609243998,0.25000071827273657,4.901063642234706e-12,-4.9024353465074706e-12,-7.453781583451893e-12,1.0,0,0,0,odom,-0.0010791631663529967,0.010813332884161267,0.24999733240090705,-2.667571447343049e-06,1.0461324381754678e-08,-0.0039389613032936996,0.9999922422582763
1970/01/01/03:00:11.633000,91,11,609000000,camera_link_optical,-0.0043792263604700565,-0.002404848812147975,4.006923675537109,-8.000745637404401e-06,0.9999096354539017,0.00012644892234992794,-0.013442651267649678,0,11,607000000,camera_link_optical,-0.0020679337265577945,-9.522516108972923e-11,4.02138955277798,0.7070852089774736,0.00551325316144557,-0.00551340699020487,0.707085365163373,0,0,0,odom,-0.0019772802504081904,0.012297630307608255,0.2500059218047916,4.901063642234706e-12,-4.9024353465074706e-12,-7.453781583451893e-12,1.0,0,0,0,odom,-0.00206784910298431,0.021389552824434492,0.24999999998981615,-1.1045100205319095e-07,-1.0876194705016584e-07,-0.007797036688095724,0.9999696026474306
1970/01/01/03:00:11.867000,98,11,842000000,camera_link_optical,-0.005741641856729984,-0.0024069687351584435,4.020345211029053,-1.464535428195836e-05,0.9997731228898243,0.0002778159436432905,-0.021298482362442833,0,11,831000000,camera_link_optical,-0.0029654807851380617,2.27584834064376e-06,4.032153913137512,0.7070582094405237,0.008291065456542356,-0.008287847229959556,0.7070581717826678,0,0,0,odom,-0.003339695746668118,0.025719165799551615,0.25000804172780206,4.901063642234706e-12,-4.9024353465074706e-12,-7.453781583451893e-12,1.0,0,0,0,odom,-0.0029653940749548246,0.032153913196080595,0.24999772422014457,2.66390872393574e-08,2.2756184720346068e-06,-0.011723072337698573,0.9999312824238404
1970/01/01/03:00:12.105000,105,12,76000000,camera_link_optical,-0.0060396958142519,-0.0024234922602772713,4.0319414138793945,5.502567513838809e-07,0.9999416577853364,8.334180879631697e-06,-0.010801895933213377,0,12,74000000,camera_link_optical,-0.0037855326661560993,7.887121511451767e-11,4.043188353521016,0.7070189030292259,0.011141726489040719,-0.011141905603913422,0.7070190878821497,0,0,0,odom,-0.0036377497041900336,0.03731536864989341,0.2500245652529209,4.901063642234706e-12,-4.9024353465074706e-12,-7.453781583451893e-12,1.0,0,0,0,odom,-0.003785444215463511,0.04318835360175707,0.24999999998983377,-1.3069977405991162e-07,-1.2666466322183716e-07,-0.01575691829956304,0.999875852056478
1970/01/01/03:00:12.333000,112,12,309000000,camera_link_optical,-0.006953478325158358,-0.00243040407076478,4.044185161590576,-3.995692368215275e-06,0.9999497257363791,6.129170771532054e-05,-0.010027074703095934,0,12,288000000,camera_link_optical,-0.004467774168907873,-1.0273032529650727e-06,4.053712919553856,0.7069701534542089,0.01386274564363178,-0.013862717131386103,0.7069716058526588,0,0,0,odom,-0.0045515322150964915,0.04955911636107505,0.2500314770634084,4.901063642234706e-12,-4.9024353465074706e-12,-7.453781583451893e-12,1.0,0,0,0,odom,-0.0044676836008059745,0.05371291965906565,0.2500010271972003,-1.027011819164191e-06,2.017249494829004e-08,-0.01960487390789875,0.9998078059897315
1970/01/01/03:00:12.568000,119,12,542000000,camera_link_optical,-0.007296377327293158,-0.002435097936540842,4.05163049697876,-4.29773081626837e-06,0.9999229070623395,4.667822257724028e-05,-0.01241683271502764,0,12,541000000,camera_link_optical,-0.005083099868834447,1.044029778962674e-06,4.06455969744971,0.7069109784885781,0.01667067697436121,-0.016670711770927032,0.7069095022636124,0,0,0,odom,-0.004894431217231291,0.057004451749258646,0.25003617092918445,4.901063642234706e-12,-4.9024353465074706e-12,-7.453781583451893e-12,1.0,0,0,0,odom,-0.005083007555833281,0.06455969756675718,0.24999895586394855,1.0438376123416242e-06,-2.4593662185658935e-08,-0.023575933428523755,0.9997220490525772
1970/01/01/03:00:12.799000,126,12,775000000,camera_link_optical,-0.008306440897285938,-0.002432927256450057,4.061758995056152,-2.151683186439843e-06,0.9994314779909538,0.00030983136520878243,-0.03371386659392587,0,12,749000000,camera_link_optical,-0.005579388034458545,7.582615091372702e-11,4.075213972773189,0.7068397539022095,0.019430961767074994,-0.019430961746726712,0.7068397539427642,0,0,0,odom,-0.005904494787224072,0.06713294982665122,0.25003400024909367,4.901063642234706e-12,-4.9024353465074706e-12,-7.453781583451893e-12,1.0,0,0,0,odom,-0.005579293597777045,0.07521397289728222,0.24999999999352931,-1.7561215411143447e-11,3.194412827941468e-12,-0.027479541229664527,0.9996223661032236
1970/01/01/03:00:13.033000,133,13,9000000,camera_link_optical,-0.008673423901200294,-0.0024410909973084927,4.0730299949646,-8.894229554959592e-06,0.999148091691744,0.0001501536721099763,-0.04126824740056025,0,13,5000000,camera_link_optical,-0.005986568265385319,-9.658179811466994e-11,4.0860020091656075,0.7067571589770906,0.022229317775087926,-0.0222295445315408,0.7067574003969154,0,0,0,odom,-0.006271477791138428,0.07840394973509848,0.2500421639899521,4.901063642234706e-12,-4.9024353465074706e-12,-7.453781583451893e-12,1.0,0,0,0,odom,-0.0059864716726939545,0.08600200931251645,0.2499999999898668,-1.707207563675003e-07,-1.6032987357852713e-07,-0.031437174834260784,0.9995057298677108
1970/01/01/03:00:13.270000,140,13,243000000,camera_link_optical,-0.008332805708050728,-0.0024484361056238413,4.086634635925293,-1.0565305127022566e-05,0.9995122332486138,0.000291346282089466,-0.031228361982125592,0,13,241000000,camera_link_optical,-0.006298004410360616,9.088126342315928e-07,4.096922611747259,0.7066622340999416,0.02506532275185525,-0.025066801431989263,0.7066624880083799,0,0,0,odom,-0.005930859597988862,0.09200859069579184,0.25004950909826745,4.901063642234706e-12,-4.9024353465074706e-12,-7.453781583451893e-12,1.0,0,0,0,odom,-0.0062979060435566815,0.09692261190119902,0.24999909108042195,-1.795515949919785e-07,-1.0455736427903922e-06,-0.03544877696279873,0.9993714945958367
1970/01/01/03:00:13.499000,147,13,476000000,camera_link_optical,-0.008891956880688667,-0.0024601418990641832,4.099402904510498,-1.002132286299033e-05,0.9993367012631671,0.000218663833530288,-0.03641578770468395,0,13,463000000,camera_link_optical,-0.006503471889949515,7.071301877381586e-11,4.107465638509505,0.706559815194566,0.027806969948481884,-0.027806969922613486,0.7065598151595006,0,0,0,odom,-0.006490010770626801,0.10477685928099692,0.2500612148917078,4.901063642234706e-12,-4.9024353465074706e-12,-7.453781583451893e-12,1.0,0,0,0,odom,-0.006503371374747199,0.10746563866345525,0.24999999999931805,3.604218596205704e-11,7.230248002511643e-12,-0.03932500623831671,0.9992264727699904
