time,.estimateZeroPointPose.header.seq,.estimateZeroPointPose.header.stamp.secs,.estimateZeroPointPose.header.stamp.nsecs,.estimateZeroPointPose.header.frame_id,.estimateZeroPointPose.pose.position.x,.estimateZeroPointPose.pose.position.y,.estimateZeroPointPose.pose.position.z,.estimateZeroPointPose.pose.orientation.x,.estimateZeroPointPose.pose.orientation.y,.estimateZeroPointPose.pose.orientation.z,.estimateZeroPointPose.pose.orientation.w,.trueZeroPointPose.header.seq,.trueZeroPointPose.header.stamp.secs,.trueZeroPointPose.header.stamp.nsecs,.trueZeroPointPose.header.frame_id,.trueZeroPointPose.pose.position.x,.trueZeroPointPose.pose.position.y,.trueZeroPointPose.pose.position.z,.trueZeroPointPose.pose.orientation.x,.trueZeroPointPose.pose.orientation.y,.trueZeroPointPose.pose.orientation.z,.trueZeroPointPose.pose.orientation.w,.estimateOdomPose.header.seq,.estimateOdomPose.header.stamp.secs,.estimateOdomPose.header.stamp.nsecs,.estimateOdomPose.header.frame_id,.estimateOdomPose.pose.position.x,.estimateOdomPose.pose.position.y,.estimateOdomPose.pose.position.z,.estimateOdomPose.pose.orientation.x,.estimateOdomPose.pose.orientation.y,.estimateOdomPose.pose.orientation.z,.estimateOdomPose.pose.orientation.w,.trueOdomPose.header.seq,.trueOdomPose.header.stamp.secs,.trueOdomPose.header.stamp.nsecs,.trueOdomPose.header.frame_id,.trueOdomPose.pose.position.x,.trueOdomPose.pose.position.y,.trueOdomPose.pose.position.z,.trueOdomPose.pose.orientation.x,.trueOdomPose.pose.orientation.y,.trueOdomPose.pose.orientation.z,.trueOdomPose.pose.orientation.w
1970/01/01/03:00:18.973000,125,18,940000000,camera_link_optical,-0.0009984920034185052,-0.0009977399604395032,2.0412964820861816,8.751538991476957e-06,0.9999999871389643,-8.324906833461308e-05,-0.0001368030497842577,0,18,970000000,camera_link_optical,-7.053514823120534e-08,-5.798553304181553e-11,2.051143399991296,0.7071067811939383,-1.2183762551755662e-08,1.2166129659657384e-08,0.7071067811791565,0,0,0,,-3.4017255529761314e-05,0.050069332122802734,3.527785884216428e-05,0.0,0.0,0.0,1.0,0,0,0,odom,9.660157588506964e-12,0.05114339999265231,0.2499999999950989,-3.508928629011458e-13,-9.731259353766512e-13,2.1702722359959545e-11,1.0
1970/01/01/03:00:20.075000,158,20,40000000,camera_link_optical,-0.0009990795515477657,-0.0010208854218944907,2.0922415256500244,-7.951260386236938e-06,0.9999999582933231,9.128500185208254e-05,0.00027389263938281316,0,20,43000000,camera_link_optical,-7.657018077431081e-08,-5.908581957037029e-11,2.102055799987257,0.7071067811939383,-1.2918964929772551e-08,1.2901332037656695e-08,0.7071067811791565,0,0,0,,-3.4604803659021854e-05,0.10101437568664551,5.8423320297151804e-05,0.0,0.0,0.0,1.0,0,0,0,odom,1.789494627798275e-11,0.10205579999265496,0.2499999999950989,-3.5089286273903396e-13,-9.731259355862833e-13,4.165534030147433e-11,1.0
1970/01/01/03:00:21.173000,190,21,145000000,camera_link_optical,-0.0010347897186875343,-0.001032016589306295,2.1421031951904297,-8.611377943759963e-06,0.999999991290707,0.00013006362233076651,2.068536070024157e-05,0,21,164000000,camera_link_optical,-8.280082237595447e-08,-6.018188725143148e-11,2.1527833999872645,0.7071067811939382,-1.3654116100569901e-08,1.3636483208436465e-08,0.7071067811791565,0,0,0,,-7.031497079879045e-05,0.15087604522705078,6.9554487708956e-05,0.0,0.0,0.0,1.0,0,0,0,odom,2.6099844627200742e-11,0.15278339999266263,0.2499999999950989,-3.508928640350725e-13,-9.731259358615531e-13,6.153553494322364e-11,1.0
1970/01/01/03:00:22.266000,223,22,245000000,camera_link_optical,-0.0010193941416218877,-0.0010724123567342758,2.1930665969848633,1.7703633544070415e-06,0.9999997969013706,-0.00037520118632401966,0.0005151874931601837,0,22,236000000,camera_link_optical,-8.901167562892809e-08,3.393829661746395e-11,2.2032799999978803,0.7071067811776652,-1.4338503410488244e-08,1.4356655789091447e-08,0.7071067811954295,0,0,0,,-5.4919393733143806e-05,0.20183944702148438,0.0001099502551369369,0.0,0.0,0.0,1.0,0,0,0,odom,3.541280561230143e-11,0.20327999999267393,0.24999999999509864,-1.757801100078285e-12,1.3404583634635786e-12,8.12824535554098e-11,1.0
1970/01/01/03:00:23.369000,256,23,345000000,camera_link_optical,-0.0010768368374556303,-0.0010793976252898574,2.2447476387023926,1.5481972092520066e-05,0.9999998939907075,0.00043861144014985026,0.00013927988718959148,0,23,337000000,camera_link_optical,-9.546181573580516e-08,-6.237405036912946e-11,2.2542385999897903,0.7071067811939382,-1.5058864475342104e-08,1.5041231583179027e-08,0.7071067811791565,0,0,0,,-0.00011236208956688643,0.25352048873901367,0.00011693552369251847,0.0,0.0,0.0,1.0,0,0,0,odom,4.2509641315660416e-11,0.2542385999926836,0.2499999999950989,-3.5089286489433585e-13,-9.731259352752622e-13,1.0129592418059823e-10,1.0
1970/01/01/03:00:24.471000,289,24,445000000,camera_link_optical,-0.0011097013484686613,-0.0010933751473203301,2.2951905727386475,3.306858370761035e-05,0.9999998839261619,0.00048068015806807267,8.468445190146914e-07,0,24,428000000,camera_link_optical,-1.0231509345704052e-07,-6.34739483196256e-11,2.305150999987281,0.7071067811939383,-1.579406686813735e-08,1.5776433975956137e-08,0.7071067811791564,0,0,0,,-0.00014522660057991743,0.30396342277526855,0.00013091304572299123,0.0,0.0,0.0,1.0,0,0,0,odom,5.0744429996251136e-11,0.3051509999926795,0.2499999999950989,-3.508928663775153e-13,-9.731259365584766e-13,1.2124854208133925e-10,1.0
1970/01/01/03:00:25.573000,322,25,545000000,camera_link_optical,-0.0011413834290578961,-0.0011406593257561326,2.3445355892181396,-7.152446555999788e-06,0.9999999836730402,0.00017768285929377245,3.211796115052559e-05,0,25,551000000,camera_link_optical,-1.0937295581010363e-07,-6.457409607030229e-11,2.356063399987276,0.7071067811939383,-1.6529269264722636e-08,1.6511636372524606e-08,0.7071067811791564,0,0,0,,-0.00017690868116915226,0.35330843925476074,0.0001781972241587937,0.0,0.0,0.0,1.0,0,0,0,odom,5.897921867787131e-11,0.35606339999267533,0.2499999999950989,-3.5089286558267855e-13,-9.731259373086535e-13,1.4120115998407397e-10,1.0
1970/01/01/03:00:26.673000,355,26,645000000,camera_link_optical,-0.0011600583093240857,-0.0011849963339045644,2.396759510040283,2.4251287782279e-06,0.9999999455826906,-0.0003295055036932267,1.5964265220263366e-05,0,26,670000000,camera_link_optical,-1.1640379869552355e-07,3.833741657466305e-11,2.406883399993915,0.70710678117866,-1.7215412385694217e-08,1.7230292862103427e-08,0.7071067811944346,0,0,0,,-0.00019558356143534184,0.4055323600769043,0.00022253423230722547,0.0,0.0,0.0,1.0,0,0,0,odom,6.719906218654541e-11,0.4068833999926712,0.2499999999950989,-3.5089286890010316e-13,-9.731259365955002e-13,1.6111756622494452e-10,1.0
1970/01/01/03:00:27.775000,388,27,746000000,camera_link_optical,-0.0011716318549588323,-0.0011981548741459846,2.446016550064087,-2.430385463887637e-05,0.9999999482991907,-6.686574450163091e-05,0.0003135919496175133,0,27,743000000,camera_link_optical,-1.2386721909842756e-07,3.943723125843235e-11,2.4577957999978715,0.70710678117866,-1.7950614789647913e-08,1.7965495266072707e-08,0.7071067811944346,0,0,0,,-0.0002071571070700884,0.454789400100708,0.00023569277254864573,0.0,0.0,0.0,1.0,0,0,0,odom,7.543385086243989e-11,0.45779579999266706,0.2499999999950989,-3.508928654883317e-13,-9.731259364701464e-13,1.8107018410097702e-10,1.0
1970/01/01/03:00:28.874000,421,28,845000000,camera_link_optical,-0.001222152728587389,-0.001208501635119319,2.4987807273864746,5.751111431467419e-06,0.9999999789754608,-6.435728507870588e-06,-0.00020487699741487034,0,28,865000000,camera_link_optical,-1.3153481143260976e-07,4.0534492429245006e-11,2.5085695999978674,0.7071067811776652,-1.8684112611391855e-08,1.8702264990077356e-08,0.7071067811954294,0,0,0,,-0.0002576779806986451,0.5075535774230957,0.00024603953352198005,0.0,0.0,0.0,1.0,0,0,0,odom,8.479164734767896e-11,0.5085695999926632,0.24999999999509864,-1.7578010987093576e-12,1.3404583634528095e-12,2.0092573760760858e-10,1.0
1970/01/01/03:00:29.972000,454,29,946000000,camera_link_optical,-0.0012332783080637455,-0.0012301844544708729,2.5493998527526855,1.1053292450281676e-06,0.9999999559279521,0.0002337669267577198,0.00018301884074296842,0,29,936000000,camera_link_optical,-1.391828713732507e-07,-6.896497262154355e-11,2.5592971999872587,0.7071067811929433,-1.9402743506177167e-08,1.9388382516155138e-08,0.7071067811801512,0,0,0,,-0.0002688035601750016,0.5581727027893066,0.00026772235287353396,0.0,0.0,0.0,1.0,0,0,0,odom,9.299654567985015e-11,0.559297199992659,0.24999999999509864,-1.7578010984438989e-12,1.3404583639795611e-12,2.2080593217152096e-10,1.0
1970/01/01/03:00:31.075000,487,31,45000000,camera_link_optical,-0.0012566936202347279,-0.0012732268078252673,2.599729061126709,-6.038499539502321e-06,0.9999999998533294,6.297914694431264e-06,-1.473818072425478e-05,0,31,58000000,camera_link_optical,-1.4726883545290444e-07,-7.006514812779585e-11,2.610209599987254,0.7071067811929432,-2.013794592132311e-08,2.0123584931287025e-08,0.7071067811801511,0,0,0,,-0.000292218872345984,0.6085019111633301,0.0003107647062279284,0.0,0.0,0.0,1.0,0,0,0,odom,1.0123133435225334e-10,0.6102095999926549,0.24999999999509864,-1.7578010981706342e-12,1.3404583650439536e-12,2.4075855002802127e-10,1.0
1970/01/01/03:00:32.175000,520,32,145000000,camera_link_optical,-0.0012885072501376271,-0.0012872794177383184,2.650766372680664,-8.615610589464794e-06,0.999999974010283,0.00012171904809847368,-0.0001925868063802912,0,32,129000000,camera_link_optical,-1.5529840429728615e-07,4.3828718432337155e-11,2.6610295999978537,0.707106781177665,-2.0824089059932812e-08,2.0842241438658306e-08,0.7071067811954294,0,0,0,,-0.00032403250224888325,0.6595392227172852,0.00032481731614097953,0.0,0.0,0.0,1.0,0,0,0,odom,1.0945117785140605e-10,0.6610295999926508,0.24999999999509864,-1.7578010969633675e-12,1.3404583654031822e-12,2.606749562236347e-10,1.0
1970/01/01/03:00:33.275000,553,33,245000000,camera_link_optical,-0.0013153142062947154,-0.001328110578469932,2.7018468379974365,1.726916272629837e-05,0.9999999297749759,-0.00037425975714773556,9.025159302061597e-06,0,33,252000000,camera_link_optical,-1.6379317626994865e-07,4.4927617182111135e-11,2.7118957999978495,0.7071067811786601,-2.1560944857444728e-08,2.1575825333944137e-08,0.7071067811944345,0,0,0,,-0.0003508394584059715,0.7106196880340576,0.00036564847687259316,0.0,0.0,0.0,1.0,0,0,0,odom,1.1653306837001477e-10,0.7118957999926464,0.2499999999950989,-3.508928700842336e-13,-9.731259375329087e-13,2.806522151375169e-10,1.0
1970/01/01/03:00:34.366000,586,34,345000000,camera_link_optical,-0.0013557927450165153,-0.0013263492146506906,2.7510035037994385,-6.941102921772012e-06,0.9999997788304221,0.0004990039669178469,-0.00043964300170966017,0,34,322000000,camera_link_optical,-1.7222025517169513e-07,-7.335124174723262e-11,2.76229999998724,0.7071067811929433,-2.2277819969422327e-08,2.226345897933231e-08,0.7071067811801511,0,0,0,,-0.0003913179971277714,0.7597763538360596,0.00036388711305335164,0.0,0.0,0.0,1.0,0,0,0,odom,1.2583108417230312e-10,0.7622999999926425,0.24999999999509864,-1.757801096861224e-12,1.3404583658670064e-12,3.0036292203374535e-10,1.0
1970/01/01/03:00:35.471000,619,35,445000000,camera_link_optical,-0.0013616695068776608,-0.001360195456072688,2.801398515701294,-3.4438639905012192e-06,0.9999999855107433,-6.379791308703645e-05,0.00015778618162058466,0,35,444000000,camera_link_optical,-1.8113622489762745e-07,-7.445447036680264e-11,2.813350999987235,0.707106781193938,-2.3014726985349685e-08,2.299709409300486e-08,0.7071067811791563,0,0,0,,-0.0003971947589889169,0.810171365737915,0.0003977333544753492,0.0,0.0,0.0,1.0,0,0,0,odom,1.3294286502603864e-10,0.8133509999926382,0.2499999999950989,-3.5089286997030484e-13,-9.731259392554113e-13,3.2041260423282597e-10,1.0
