.estimateZeroPointPose.header.frame_id,.estimateZeroPointPose.pose.position.x,.estimateZeroPointPose.pose.position.y,.estimateZeroPointPose.pose.position.z,.trueZeroPointPose.header.frame_id,.trueZeroPointPose.pose.position.x,.trueZeroPointPose.pose.position.y,.trueZeroPointPose.pose.position.z,.estimateOdomPose.header.frame_id,.estimateOdomPose.pose.position.x,.estimateOdomPose.pose.position.y,.estimateOdomPose.pose.position.z,.trueOdomPose.header.frame_id,.trueOdomPose.pose.position.x,.trueOdomPose.pose.position.y,.trueOdomPose.pose.position.z
camera_link_optical,-0.001218652934767,-0.001235909177922,2.03656005859375,camera_link_optical,-9.27195652082471E-08,-5.45119609840494E-07,2.05059156918813,,-9.45758074522018E-06,0.043915748596192,2.97211809083819E-05,odom,4.41820046160094E-11,0.050591569185063,0.250000545145348
camera_link_optical,-0.001271517714486,-0.001252468209714,2.08796048164368,camera_link_optical,-9.59878178705812E-08,-5.45920332217786E-07,2.10118476847178,,-6.23223604634404E-05,0.095316171646118,4.6280212700367E-05,odom,4.41785692881647E-11,0.101184768474047,0.250000545856364
camera_link_optical,-0.001285633305088,-0.001279072952457,2.13949584960937,camera_link_optical,-9.95272408926618E-08,-5.46641416104832E-07,2.15234856774867,,-7.64379510655999E-05,0.146851539611816,7.28849554434419E-05,odom,4.41847738477911E-11,0.152348567754069,0.250000546576342
camera_link_optical,-0.001308238948695,-0.001306834048592,2.18781399726868,camera_link_optical,-1.02867920272661E-07,-5.47257517746758E-07,2.20275156704907,,-9.9043594673276E-05,0.195169687271118,0.000100646051578,odom,4.41716725324343E-11,0.202751567043868,0.250000547286543
camera_link_optical,-0.001330921193585,-0.001339252921753,2.24032187461853,camera_link_optical,-1.06285969297036E-07,-5.48067608019398E-07,2.25334476632652,,-0.000121725839563,0.247677564620972,0.000133064924739,odom,4.41682369321067E-11,0.25334476633006,0.250000548000352
camera_link_optical,-0.001385811250657,-0.001374731305987,2.29150247573853,camera_link_optical,-1.09744053533766E-07,-5.48686564572076E-07,2.30412816561503,,-0.000176615896635,0.298858165740967,0.000168543308973,odom,4.41744670489998E-11,0.304128165612631,0.250000548717781
camera_link_optical,-0.001412497134879,-0.001423628767952,2.34217357635498,camera_link_optical,-1.13516158935157E-07,-5.49417276063391E-07,2.35586256488601,,-0.000203301780857,0.349529266357422,0.000217440770939,odom,4.41709537714302E-11,0.355862564880802,0.25000054944961
camera_link_optical,-0.001448567723855,-0.001417047344148,2.39811205863953,camera_link_optical,-1.17347067828852E-07,-5.50315108288624E-07,2.41197156408376,,-0.000239372369833,0.405467748641968,0.000210859347135,odom,4.41574645856527E-11,0.411971564085986,0.250000550244425
camera_link_optical,-0.001468016183935,-0.001461217179894,2.44960808753967,camera_link_optical,-1.21183116849705E-07,-5.51033868118056E-07,2.46256476336292,,-0.000258820829913,0.456963777542114,0.000255029182881,odom,4.41540286136305E-11,0.46256476336832,0.250000550962092
camera_link_optical,-0.001509731053375,-0.001509285299107,2.49956870079041,camera_link_optical,-1.24864364944846E-07,-5.5165575885141E-07,2.51391876264411,,-0.000300535699353,0.506924390792847,0.000303097302094,odom,4.41505408824727E-11,0.513918762638904,0.250000551691508
camera_link_optical,-0.001540031400509,-0.001543764141388,2.54952549934387,camera_link_optical,-1.28557564969784E-07,-5.5247961894267E-07,2.5641315619213,,-0.000330836046487,0.556881189346314,0.000337576144375,odom,4.41471305652245E-11,0.564131561924764,0.250000552405648
camera_link_optical,-0.001541631994769,-0.001588372397237,2.60134363174438,camera_link_optical,-1.32310528479003E-07,-5.53090912569498E-07,2.61491496120392,,-0.000332436640747,0.608699321746826,0.000382184400223,odom,4.41533601271456E-11,0.614914961201568,0.250000553128844
camera_link_optical,-0.001593796303496,-0.001611356274225,2.65190744400024,camera_link_optical,-1.36110707526262E-07,-5.53926433416452E-07,2.66550816047854,,-0.000384600949474,0.659263134002685,0.000405168277211,odom,4.41499237913868E-11,0.66550816048014,0.250000553850272
camera_link_optical,-0.001620323746465,-0.001631970400922,2.70012545585632,camera_link_optical,-1.40220340246103E-07,-5.54652617751339E-07,2.71629155974965,,-0.000411128392443,0.707481145858765,0.000425782403909,odom,4.41367957231864E-11,0.716291559755053,0.250000554575359
camera_link_optical,-0.001653794781305,-0.001631029765122,2.75102853775024,camera_link_optical,-1.44103345747764E-07,-5.55257459844416E-07,2.76688475903694,,-0.000444599427283,0.758384227752685,0.000424841768108,odom,4.41333592086764E-11,0.766884759031737,0.250000555298674
camera_link_optical,-0.001706948038191,-0.001683238195255,2.80439639091492,camera_link_optical,-1.48064083285557E-07,-5.56105106297444E-07,2.81766815830189,,-0.000497752684169,0.811752080917358,0.000477050198242,odom,4.41395884094705E-11,0.817668158304753,0.250000556025658
camera_link_optical,-0.001685081515461,-0.001718992250972,2.85581851005554,camera_link_optical,-1.520584859528E-07,-5.56710183063913E-07,2.86845155757856,,-0.000475886161439,0.863174200057983,0.000512804253958,odom,4.41264600700449E-11,0.868451557576818,0.250000556753592
camera_link_optical,-0.001751781906933,-0.00175509066321,2.90611672401428,camera_link_optical,-1.56360706824583E-07,-5.57435246129057E-07,2.91904475685587,,-0.000542586552911,0.913472414016724,0.000548902666196,odom,4.41230232782552E-11,0.919044756850663,0.250000557479748
camera_link_optical,-0.001817064126953,-0.001825660350733,2.95495820045471,camera_link_optical,-1.60470435671527E-07,-5.58292323454834E-07,2.96982815611542,,-0.000607868772931,0.962313890457153,0.000619472353719,odom,4.41292522050876E-11,0.969828156120824,0.250000558209587
camera_link_optical,-0.001797659322619,-0.001805019099265,3.0032811164856,camera_link_optical,-1.64605937818312E-07,-5.58893683888506E-07,3.02061155539309,,-0.000588463968597,1.01063680648804,0.000598831102252,odom,4.41161235937151E-11,1.02061155539003,0.250000558940381
camera_link_optical,-0.001832389389165,-0.001841144287027,3.05445456504822,camera_link_optical,-1.68792866335642E-07,-5.59754315898609E-07,3.07120475465875,,-0.000623194035143,1.06181025505066,0.000634956290014,odom,4.41126865366136E-11,1.07120475466102,0.250000559669389
camera_link_optical,-0.001868402236141,-0.001879982417449,3.109703540802,camera_link_optical,-1.73325059493358E-07,-5.60488118306335E-07,3.12198815392292,,-0.000659206882119,1.11705923080444,0.000673794420436,odom,4.41189151878922E-11,1.12198815392832,0.250000560402094
camera_link_optical,-0.001915544271469,-0.001876210793853,3.15958499908447,camera_link_optical,-1.77603775003472E-07,-5.61085773898018E-07,3.17277155319985,,-0.000706348917447,1.16694068908691,0.000670022796839,odom,4.41057863038402E-11,1.17277155319465,0.250000561135758
camera_link_optical,-0.001924289390445,-0.001921779243276,3.20548272132874,camera_link_optical,-1.8194049988796E-07,-5.61955844663453E-07,3.22336475245924,,-0.000715094036423,1.21283841133118,0.000715591246262,odom,4.41023489745493E-11,1.22336475246278,0.25000056186763
camera_link_optical,-0.00196275068447,-0.001954928273335,3.26288247108459,camera_link_optical,-1.86319055209341E-07,-5.6255103814129E-07,3.27414815172957,,-0.000753555330448,1.27023816108704,0.000748740276322,odom,4.41085773566241E-11,1.2741481517272,0.250000562603213
camera_link_optical,-0.001988214906305,-0.001981073291972,3.30623531341553,camera_link_optical,-1.9075481212498E-07,-5.63430167910273E-07,3.32493155098897,,-0.000779019552283,1.31359100341797,0.000774885294959,odom,4.40954481979297E-11,1.32493155099065,0.250000563339759
camera_link_optical,-0.002057156059891,-0.00202098977752,3.3644015789032,camera_link_optical,-1.95540258993981E-07,-5.64166007244182E-07,3.3755247502505,,-0.000847960705869,1.37175726890564,0.000814801780507,odom,4.40920105972328E-11,1.37552475025591,0.250000564074505
camera_link_optical,-0.002048188820481,-0.00204088841565,3.40776252746582,camera_link_optical,-2.00058886483737E-07,-5.64757514531777E-07,3.42630814952263,,-0.000838993466459,1.41511821746826,0.000834700418636,odom,4.40982387046286E-11,1.42630814951743,0.250000564812977
camera_link_optical,-0.002100012032315,-0.002132950816304,3.46378374099731,camera_link_optical,-2.04645430360283E-07,-5.65646112643536E-07,3.47709154877514,,-0.000890816678293,1.47113943099976,0.00092676281929,odom,4.40851092719509E-11,1.47709154877799,0.250000565552416
camera_link_optical,-0.002119544893503,-0.002103312173858,3.51657295227051,camera_link_optical,-2.09254208159002E-07,-5.66232395027289E-07,3.52768474804223,,-0.000910349539481,1.52392864227295,0.000897124176845,odom,4.40816713973422E-11,1.52768474804036,0.250000566290048
