time,.estimatePose.header.seq,.estimatePose.header.stamp.secs,.estimatePose.header.stamp.nsecs,.estimatePose.header.frame_id,.estimatePose.pose.position.x,.estimatePose.pose.position.y,.estimatePose.pose.position.z,.estimatePose.pose.orientation.x,.estimatePose.pose.orientation.y,.estimatePose.pose.orientation.z,.estimatePose.pose.orientation.w,.truePose.header.seq,.truePose.header.stamp.secs,.truePose.header.stamp.nsecs,.truePose.header.frame_id,.truePose.pose.position.x,.truePose.pose.position.y,.truePose.pose.position.z,.truePose.pose.orientation.x,.truePose.pose.orientation.y,.truePose.pose.orientation.z,.truePose.pose.orientation.w
1970/01/01/03:00:28.428000,30,28,381000000,camera_frame,-0.0004735372494906187,-0.0004836580774281174,0.7990592122077942,0.9999999986875223,-1.1904680466853767e-05,4.5053748553123096e-05,2.129304592047396e-05,0,0,0,camera_frame,-1.0824252646733202e-11,4.900135852636822e-12,0.8028482000056059,0.7071067811865475,-2.414158873148294e-11,2.4141616673358787e-11,0.7071067811865476
1970/01/01/03:00:46.687000,578,46,650000000,camera_frame,-0.0005356841720640659,-0.0005449535674415529,0.900337278842926,0.9999999969345086,-1.6521096397183394e-05,7.640649765877336e-05,4.481442137429117e-06,0,0,0,camera_frame,5.252316886329896e-12,4.901024031056522e-12,0.9051812000055985,0.7071067811862993,-5.321802637747223e-11,5.184181847984124e-11,0.7071067811867957
1970/01/01/03:00:48.885000,644,48,848000000,camera_frame,-0.0006032105884514749,-0.0006015315884724259,1.0014463663101196,0.9999999995796676,1.0021076772382872e-05,2.5948260312262773e-05,-8.181121902565096e-06,0,0,0,camera_frame,2.2785121382792292e-11,4.901523631417604e-12,1.0064978000055904,0.7071067811853045,-7.962828120536948e-11,8.152397560279327e-11,0.7071067811877906
1970/01/01/03:00:51.085000,710,51,48000000,camera_frame,-0.0006659134523943067,-0.0006595299346372485,1.1027456521987915,0.999999999878628,4.826113521135274e-07,-4.4922344095579344e-08,-1.5572705356001996e-05,0,0,0,camera_frame,3.802707474467661e-11,4.9013015868126786e-12,1.1078144000055823,0.7071067811862993,-1.0937089154649576e-10,1.0799468364986814e-10,0.7071067811867957
1970/01/01/03:00:53.251000,775,53,214000000,camera_frame,-0.0007179920212365687,-0.0007339294534176588,1.2022993564605713,0.9999999960004587,-1.971628940148045e-06,4.1448071696410006e-05,7.922911382451307e-05,0,0,0,camera_frame,5.555987922988369e-11,4.901523631417604e-12,1.2091310000055742,0.7071067811853045,-1.3578114633168363e-10,1.3767684073306286e-10,0.7071067811877906
1970/01/01/03:00:55.456000,841,55,415000000,camera_frame,-0.0007855703588575125,-0.0007792111719027162,1.3035916090011597,0.9999999996694384,4.577028871771915e-06,1.0876995655884802e-05,-2.2844362830138333e-05,0,0,0,camera_frame,7.080183256900715e-11,4.901273831237063e-12,1.3104476000055656,0.7071067811862993,-1.6552375661085557e-10,1.641475487124918e-10,0.7071067811867957
1970/01/01/03:00:57.654000,907,57,614000000,camera_frame,-0.000847464834805578,-0.0008388142450712621,1.405051350593567,0.9999999946721495,3.4547241954413164e-06,1.90046557789024e-05,-0.00010140310082121473,0,0,0,camera_frame,8.833463703630736e-11,4.901440364690757e-12,1.4117642000055577,0.7071067811853045,-1.9193401133889553e-10,1.9382970573769143e-10,0.7071067811877906
1970/01/01/03:00:59.851000,973,59,815000000,camera_frame,-0.0008997484110295773,-0.0009090139647014439,1.5059566497802734,0.999999997489824,1.861749294272711e-06,5.836692949214097e-05,4.012714090912481e-05,0,0,0,camera_frame,1.0357659037572105e-10,4.901246075661447e-12,1.5130808000055491,0.7071067811862993,-2.2167662161659228e-10,2.2030041371776297e-10,0.7071067811867957
1970/01/01/03:01:02.025000,1038,61,981000000,camera_frame,-0.0009653200977481902,-0.0009602977661415935,1.6060820817947388,0.9999999857220512,3.395319734952778e-06,-0.00012856413119455092,-0.00010961584499061987,0,0,0,camera_frame,1.2110939484174373e-10,4.901523631417604e-12,1.6143974000055412,0.7071067811853045,-2.480868763391106e-10,2.499825707402686e-10,0.7071067811877906
1970/01/01/03:01:04.218000,1104,64,181000000,camera_frame,-0.0010040729539468884,-0.0010033893631771207,1.7072856426239014,0.9999999574599266,-1.1293422447256035e-05,0.0002492629894052708,-0.0001510647733273074,0,0,0,camera_frame,1.3635134816565977e-10,4.9013015868126786e-12,1.7157140000055326,0.7071067811862993,-2.778294865704932e-10,2.764532786706796e-10,0.7071067811867957
1970/01/01/03:01:06.424000,1170,66,382000000,camera_frame,-0.0010936735197901726,-0.001093236031010747,1.8082164525985718,0.9999999921258456,-6.51501147195061e-08,-0.00010732514322782198,-6.503551427501456e-05,0,0,0,camera_frame,1.5388415261344338e-10,4.9016068981444505e-12,1.8170306000055447,0.7071067811853045,-3.0423974122599427e-10,3.06135435629629e-10,0.7071067811877906
1970/01/01/03:01:08.597000,1235,68,561000000,camera_frame,-0.0011626683408394456,-0.0011538909748196602,1.9093295335769653,0.9999999638972071,6.944725813420913e-06,-0.0002577628708633668,7.560196884857766e-05,0,0,0,camera_frame,1.692310130884552e-10,4.90135709796391e-12,1.9180238000055603,0.7071067811853045,-3.3166323332025297e-10,3.3355892772110074e-10,0.7071067811877906
